artist,song,genre,era,url
*NSYNC,Bye Bye Bye,Pop,1990s,https://www.youtube.com/watch?v=Eo-KmOd3i7s
2Pac,Dear Mama,Hip-Hop,1990s,https://www.youtube.com/watch?v=Mb1ZvUDvLDY
2Pac feat. Dr. Dre,California Love,Hip-Hop,1990s,https://www.youtube.com/watch?v=N0VdRLdg2ng
4 Non Blondes,What's Up?,Alternative,1990s,https://www.youtube.com/watch?v=6NXnxTNIWkc
50 Cent,In Da Club,Hip-Hop,2000s,https://www.youtube.com/watch?v=5qm8PH4xAss
a-ha,Take On Me,Pop,1980s,https://www.youtube.com/watch?v=djV11Xbc914
ABBA,Dancing Queen,Pop,1970s,https://www.youtube.com/watch?v=xFrGuyw1V8s
AC/DC,Highway to Hell,Rock,1970s,https://www.youtube.com/watch?v=l482T0yNkeo
Ace of Base,The Sign,Pop,1990s,https://www.youtube.com/watch?v=iqu132vTl5Y
Adele,Rolling in the Deep,Pop,2010s,https://www.youtube.com/watch?v=rYEDA3JcQqw
Adele,Hello,Pop,2010s,https://www.youtube.com/watch?v=YQHsXMglC9A
Aerosmith,Dream On,Rock,1970s,https://www.youtube.com/watch?v=iJDtukGW79Y
Aerosmith,Janie's Got a Gun,Rock,1980s,https://www.youtube.com/watch?v=RqQn2ADZE1A
Alanis Morissette,Ironic,Pop,1990s,https://www.youtube.com/watch?v=Jne9t8sHpUc
Alanis Morissette,You Oughta Know,Pop,1990s,https://www.youtube.com/watch?v=NPcyTyilmYY
Alice In Chains,Man in the Box,Rock,1990s,https://www.youtube.com/watch?v=TAqZb52sgpU
Alice In Chains,Rooster,Rock,1990s,https://www.youtube.com/watch?v=uAE6Il6OTcs
Alice In Chains,Would?,Rock,1990s,https://www.youtube.com/watch?v=Nco_kh8xJDs
Alice In Chains,Them Bones,Rock,1990s,https://www.youtube.com/watch?v=zTuD8k3JvxQ
alt-J,Breezeblocks,Alternative,2010s,https://www.youtube.com/watch?v=rVeMiVU77wo
Arctic Monkeys,I Bet You Look Good on the Dancefloor,Alternative,2000s,https://www.youtube.com/watch?v=pK7egZaT3hs
Audioslave,Like a Stone,Alternative,2000s,https://www.youtube.com/watch?v=7QU1nvuxaMA
Backstreet Boys,I Want It That Way,Pop,1990s,https://www.youtube.com/watch?v=4fndeDfaWCg
Backstreet Boys,Everybody (Backstreet's Back),Pop,1990s,https://www.youtube.com/watch?v=6M6samPEMpM
Beastie Boys,Fight for Your Right,Hip-Hop,1980s,https://www.youtube.com/watch?v=eBShN8qT4lk
Beastie Boys,Sabotage,Hip-Hop,1990s,https://www.youtube.com/watch?v=z5rRZdiu1UE
Beck,Loser,Alternative,1990s,https://www.youtube.com/watch?v=gpvKam3OP9k
Bee Gees,Stayin' Alive,Pop,1970s,https://www.youtube.com/watch?v=I_izvAbhExY
Better Than Ezra,Good,Alternative,1990s,https://www.youtube.com/watch?v=PFaQ_gPOTks
Beyonce,Crazy in Love,Pop,2000s,https://www.youtube.com/watch?v=ViwtNLUqkMY
Beyonce,Single Ladies (Put a Ring on It),Pop,2000s,https://www.youtube.com/watch?v=4m1EFMoRFvY
Blind Melon,No Rain,Alternative,1990s,https://www.youtube.com/watch?v=3qVPNONdF58
Blues Traveler,Run-Around,Alternative,1990s,https://www.youtube.com/watch?v=ousaiByU1ko
Blues Traveler,Hook,Alternative,1990s,https://www.youtube.com/watch?v=pdz5kCaCRFM
Blur,Song 2,Alternative,1990s,https://www.youtube.com/watch?v=SSbBvKaM6sk
Bon Jovi,You Give Love a Bad Name,Rock,1980s,https://www.youtube.com/watch?v=KrZHPOeOxQQ
Bon Jovi,Livin' on a Prayer,Rock,1980s,https://www.youtube.com/watch?v=lMGaiSqOp58
Boston,More Than a Feeling,Rock,1970s,https://www.youtube.com/watch?v=t4QK8RxCAwo
Britney Spears,...Baby One More Time,Pop,1990s,https://www.youtube.com/watch?v=C-u5WLJ9Yk4
Bruno Mars,Uptown Funk,Pop,2010s,https://www.youtube.com/watch?v=OPf0YbXqDm0
Bryan Adams,Summer of '69,Rock,1980s,https://www.youtube.com/watch?v=9f06QZCVUHg
Bush,Glycerine,Rock,1990s,https://www.youtube.com/watch?v=hOllF3TgAsM
Cage the Elephant,Cigarette Daydreams,Alternative,2010s,https://www.youtube.com/watch?v=opeETnB8m8w
CAKE,The Distance,Alternative,1990s,https://www.youtube.com/watch?v=F_HoMkkRHv8
Candlebox,Far Behind,Rock,1990s,https://www.youtube.com/watch?v=eu3EuWg2qNI
Childish Gambino,This Is America,Hip-Hop,2010s,https://www.youtube.com/watch?v=VYOjWnS4cMY&t=1s
Christina Aguilera,Beautiful,Pop,2000s,https://www.youtube.com/watch?v=eAfyFTzZDMM
Coolio,Gangsta's Paradise,Hip-Hop,1990s,https://www.youtube.com/watch?v=fPO76Jlnz6c
Counting Crows,Round Here,Alternative,1990s,https://www.youtube.com/watch?v=SAe3sCIakXo
Counting Crows,Hanginaround,Alternative,1990s,https://www.youtube.com/watch?v=ARiiO_41Id8
Crash Test Dummies,Mmm Mmm Mmm Mmm,Alternative,1990s,https://www.youtube.com/watch?v=eTeg1txDv8w
Culture Club,Karma Chameleon,Pop,1980s,https://www.youtube.com/watch?v=JmcA9LIIXWw
Cyndi Lauper,Girls Just Want to Have Fun,Pop,1980s,https://www.youtube.com/watch?v=PIb6AZdTr-A
Cyndi Lauper,Time After Time,Pop,1980s,https://www.youtube.com/watch?v=VdQY7BusJNU
Cyndi Lauper,True Colors,Pop,1980s,https://www.youtube.com/watch?v=LPn0KFlbqX8
David Bowie,Let's Dance,Pop,1980s,https://www.youtube.com/watch?v=VbD_kBJc_gI
David Bowie,Heroes,Pop,1970s,https://www.youtube.com/watch?v=lXgkuM2NhYI
David Bowie,Space Oddity,Pop,1970s,https://www.youtube.com/watch?v=iYYRH4apXDo
David Bowie/Mick Jagger,Dancing in the Street,Pop,1980s,https://www.youtube.com/watch?v=opRRax4ph3E
David Bowie/Queen,Under Pressure,Rock,1980s,https://www.youtube.com/watch?v=a01QQZyl-_I
David Lee Roth,Just a Gigolo/I Ain't Got Nobody,Rock,1980s,https://www.youtube.com/watch?v=rkdhhEjX-I0
David Lee Roth,California Girls,Rock,1980s,https://www.youtube.com/watch?v=53LZ0-m-8Vg
David Lee Roth,Yankee Rose,Rock,1980s,https://www.youtube.com/watch?v=65o3MFsb0BY
Death Cab for Cutie,Soul Meets Body,Alternative,2000s,https://www.youtube.com/watch?v=uizQVriWp8M
Def Leppard,Pour Some Sugar on Me,Rock,1980s,https://www.youtube.com/watch?v=0UIB9Y4OFPs
Depeche Mode,Just Can't Get Enough,Alternative,1980s,https://www.youtube.com/watch?v=_6FBfAQ-NDE
Devo,Whip It,Alternative,1980s,https://www.youtube.com/watch?v=IIEVqFB4WUo
Dinosaur Jr,Feel the Pain,Alternative,1990s,https://www.youtube.com/watch?v=JXkN3nJyWEA
Dire Straits,Money for Nothing,Rock,1980s,https://www.youtube.com/watch?v=wTP2RUD_cL0
Doja Cat,Say So,Pop,2020s,https://www.youtube.com/watch?v=pok8H_KF1FA
Doja Cat,Woman,Hip-Hop,2020s,https://www.youtube.com/watch?v=yxW5yuzVi8w
Dr. Dre,Still D.R.E.,Hip-Hop,1990s,https://www.youtube.com/watch?v=_CL6n0FJZpk
Dr. Dre feat. Snoop Dogg,Nuthin' But a G Thang,Hip-Hop,1990s,https://www.youtube.com/watch?v=8GliyDgAGQI
Drake,God's Plan,Hip-Hop,2010s,https://www.youtube.com/watch?v=xpVfcZ0ZcFM
Drake,Hotline Bling,Hip-Hop,2010s,https://www.youtube.com/watch?v=uxpDa-c-4Mc
Dua Lipa,New Rules,Pop,2010s,https://www.youtube.com/watch?v=k2qgadSvNyU
Dua Lipa,Levitating,Pop,2020s,https://www.youtube.com/watch?v=TUVcZfQe-Kw
Duran Duran,Hungry Like the Wolf,Pop,1980s,https://www.youtube.com/watch?v=oJL-lCzEXgI
Eagles,Hotel California,Rock,1970s,https://www.youtube.com/watch?v=09839DpTctU
Ed Sheeran,Shape of You,Pop,2010s,https://www.youtube.com/watch?v=JGwWNGJdvx8
Elton John,Rocket Man,Pop,1970s,https://www.youtube.com/watch?v=DtVBCG6ThDk
Eminem,Lose Yourself,Hip-Hop,2000s,https://www.youtube.com/watch?v=7YuAzR2XVAM
Eminem,Without Me,Hip-Hop,2000s,https://www.youtube.com/watch?v=YVkUvmDQ3HY
Evanescence,Bring Me to Life,Rock,2000s,https://www.youtube.com/watch?v=3YxaaGgTQYM
Eve 6,Inside Out,Alternative,1990s,https://www.youtube.com/watch?v=T8Xb_7YDroQ
Everclear,Father of Mine,Alternative,1990s,https://www.youtube.com/watch?v=kkcbxjWG9Mc
Everclear,Santa Monica,Alternative,1990s,https://www.youtube.com/watch?v=MW6E_TNgCsY
Extreme,More Than Words,Rock,1990s,https://www.youtube.com/watch?v=UrIiLvg58SY
Fatboy Slim,Weapon of Choice,Alternative,1990s,https://www.youtube.com/watch?v=wCDIYvFmgW8
Fatboy Slim,Praise You,Alternative,1990s,https://www.youtube.com/watch?v=ruAi4VBoBSM
Fiona Apple,Criminal,Alternative,1990s,https://www.youtube.com/watch?v=FFOzayDpWoI
Fleetwood Mac,Go Your Own Way,Rock,1970s,https://www.youtube.com/watch?v=ozl3L9fhKtE
Fleetwood Mac,Dreams,Pop,1970s,https://www.youtube.com/watch?v=Y3ywicffOj4
Fleetwood Mac,Landslide,Rock,1970s,https://www.youtube.com/watch?v=WM7-PYtXtJM
Fontaines D.C.,Starburster,Alternative,2020s,https://www.youtube.com/watch?v=KHocVRUlvkk
Foo Fighters,Everlong,Rock,1990s,https://www.youtube.com/watch?v=eBG7P-K-r1Y
Foo Fighters,Shame Shame,Rock,2020s,https://www.youtube.com/watch?v=R1G6-RUz3OA
Foo Fighters,The Sky Is a Neighborhood,Rock,2010s,https://www.youtube.com/watch?v=TRqiFPpw2fY
Foo Fighters,Best of You,Rock,2000s,https://www.youtube.com/watch?v=h_L4Rixya64
Foo Fighters,My Hero,Rock,1990s,https://www.youtube.com/watch?v=EqWRaAF6_WY
Foo Fighters,Learn to Fly,Rock,1990s,https://www.youtube.com/watch?v=1VQ_3sBZEm0
Foo Fighters,Monkey Wrench,Rock,1990s,https://www.youtube.com/watch?v=I7rCNiiNPxA
Franz Ferdinand,Take Me Out,Alternative,2000s,https://www.youtube.com/watch?v=GhCXAiNz9Jo
Garbage,Only Happy When It Rains,Alternative,1990s,https://www.youtube.com/watch?v=GpBFOJ3R0M4
George Michael,Faith,Pop,1980s,https://www.youtube.com/watch?v=6Cs3Pvmmv0E
George Michael,Careless Whisper,Pop,1980s,https://www.youtube.com/watch?v=izGwDsrQ1eQ
George Michael,Freedom! '90,Pop,1990s,https://www.youtube.com/watch?v=kDXtCEMPsEc
Glass Animals,Heat Waves,Alternative,2020s,https://www.youtube.com/watch?v=mRD0-GxqHVo
GloRilla,F.N.F. (Let's Go),Hip-Hop,2020s,https://www.youtube.com/watch?v=ww6ykF2ktaI
Glorilla,WHATCHU KNO ABOUT ME,Hip-Hop,2020s,https://www.youtube.com/watch?v=Py9S2bD0RZQ
Gotye,Somebody That I Used To Know,Alternative,2010s,https://www.youtube.com/watch?v=8UVNT4wvIGY
Green Day,Boulevard of Broken Dreams,Rock,2000s,https://www.youtube.com/watch?v=Soa3gO7tL-c
Green Day,Basket Case,Alternative,1990s,https://www.youtube.com/watch?v=QkKGBWfaNM4
Greta Van Fleet,Highway Tune,Rock,2010s,https://www.youtube.com/watch?v=aJg4OJxp-co
Greta Van Fleet,Heat Above,Rock,2020s,https://www.youtube.com/watch?v=vrWFu5k1Jpg
Guns N' Roses,Sweet Child O' Mine,Rock,1980s,https://www.youtube.com/watch?v=1w7OgIMMRc4
Guns N' Roses,November Rain,Rock,1990s,https://www.youtube.com/watch?v=8SbUC-UaAxE
Guns N' Roses,Paradise City,Rock,1980s,https://www.youtube.com/watch?v=Rbm6GXllBiw
Hall & Oates,Maneater,Pop,1980s,https://www.youtube.com/watch?v=yRYFKcMa_Ek
Harry Styles,As It Was,Pop,2020s,https://www.youtube.com/watch?v=H5v3kku4y6Q
Harry Styles,Watermelon Sugar,Pop,2020s,https://www.youtube.com/watch?v=E07s5ZYygMg
Harvey Danger,Flagpole Sitta,Alternative,1990s,https://www.youtube.com/watch?v=wYsMjEeEg4g
Hole,Celebrity Skin,Alternative,1990s,https://www.youtube.com/watch?v=O3dWBLoU--E
Hole,Violet,Alternative,1990s,https://www.youtube.com/watch?v=cH_rfGBwamc
House of Pain,Jump Around,Hip-Hop,1990s,https://www.youtube.com/watch?v=XhzpxjuwZy0
Imagine Dragons,Radioactive,Rock,2010s,https://www.youtube.com/watch?v=ktvTqknDobU
Jack Harlow,First Class,Hip-Hop,2020s,https://www.youtube.com/watch?v=yQBImEeXNZ4
Jamiroquai,Virtual Insanity,Alternative,1990s,https://www.youtube.com/watch?v=4JkIs37a2JE
Jane's Addiction,Jane Says,Alternative,1980s,https://www.youtube.com/watch?v=i7Q_8q3XXrQ
Janet Jackson,Rhythm Nation,Pop,1980s,https://www.youtube.com/watch?v=OAwaNWGLM0c
Jason Isbell,Travelling Alone,Rock,2010s,https://www.youtube.com/watch?v=EUqHEzgFRoA
Jason Isbell,Alabama Pines,Rock,2010s,https://www.youtube.com/watch?v=L9d5yNcFGlY
Jason Isbell and the 400 Unit,White Beretta,Rock,2020s,https://www.youtube.com/watch?v=4mauQ0lygg8
Jason Isbell and the 400 Unit,King of Oklahoma,Rock,2020s,https://www.youtube.com/watch?v=j4lEqjTkFr4
Jason Isbell and the 400 Unit,Only Children,Rock,2020s,https://www.youtube.com/watch?v=_bKi2aQxU14
JAY-Z,99 Problems,Hip-Hop,2000s,https://www.youtube.com/watch?v=6dVdd3RsbSE
Jay-Z,Big Pimpin',Hip-Hop,2000s,https://www.youtube.com/watch?v=Cgoqrgc_0cM
