artist,song,genre,era,url
Bon Jovi,Livin' on a Prayer,Rock,80s,https://www.youtube.com/watch?v=lMGaiSqOp58
Guns N' Roses,Sweet Child O' Mine,Rock,80s,https://www.youtube.com/watch?v=1w7OgIMMRc4
Guns N' Roses,November Rain,Rock,90s,https://www.youtube.com/watch?v=8SbUC-UaAxE
Journey,Don't Stop Believin',Rock,80s,https://www.youtube.com/watch?v=x3idGV-7kSQ
Nirvana,Smells Like Teen Spirit,Rock,90s,https://www.youtube.com/watch?v=hTWKbfoikeg
Oasis,Wonderwall,Rock,90s,https://www.youtube.com/watch?v=bx1Bh8ZvH84
Red Hot Chili Peppers,Under the Bridge,Rock,90s,https://www.youtube.com/watch?v=GLvohMXgcBo
Michael Jackson,Thriller,Pop,80s,https://www.youtube.com/watch?v=sOnqjkJTMaA
Madonna,Like a Prayer,Pop,80s,https://www.youtube.com/watch?v=79fzeNUqQbQ
a-ha,Take On Me,Pop,80s,https://www.youtube.com/watch?v=djV11Xbc914
Backstreet Boys,I Want It That Way,Pop,90s,https://www.youtube.com/watch?v=4fndeDfaWCg
Britney Spears,...Baby One More Time,Pop,90s,https://www.youtube.com/watch?v=C-u5WLJ9Yk4
TLC,No Scrubs,Pop,90s,https://www.youtube.com/watch?v=FrLequ6dUdM
The Notorious B.I.G.,Juicy,Hip-Hop,90s,https://www.youtube.com/watch?v=_JZom_gVfuw
2Pac feat. Dr. Dre,California Love,Hip-Hop,90s,https://www.youtube.com/watch?v=N0VdRLdg2ng
Dr. Dre feat. Snoop Dogg,Nuthin' But a G Thang,Hip-Hop,90s,https://www.youtube.com/watch?v=8GliyDgAGQI
Eminem,Lose Yourself,Hip-Hop,2000s,https://www.youtube.com/watch?v=7YuAzR2XVAM
OutKast,Hey Ya!,Hip-Hop,2000s,https://www.youtube.com/watch?v=PWgvGjAhvIw
JAY-Z feat. Alicia Keys,Empire State of Mind,Hip-Hop,2000s,https://www.youtube.com/watch?v=vk6014HuxcE
