artist,song,genre,era,url
Depeche Mode,Just Can't Get Enough,Alternative,80s,https://www.youtube.com/watch?v=_6FBfAQ-NDE
The Notorious B.I.G.,Juicy,Hip-Hop,90s,https://www.youtube.com/watch?v=_JZom_gVfuw
Vampire Weekend,A-Punk,Alternative,2000s,https://www.youtube.com/watch?v=_XC2mqcMMGQ
Eagles,Hotel California,Rock,70s,https://www.youtube.com/watch?v=09839DpTctU
The White Stripes,Seven Nation Army,Rock,2000s,https://www.youtube.com/watch?v=0J2QdDbelmY
Def Leppard,Pour Some Sugar on Me,Rock,80s,https://www.youtube.com/watch?v=0UIB9Y4OFPs
Guns N' Roses,Sweet Child O' Mine,Rock,80s,https://www.youtube.com/watch?v=1w7OgIMMRc4
Whitney Houston,I Will Always Love You,Pop,90s,https://www.youtube.com/watch?v=3JWTaaS7LdU
Soundgarden,Black Hole Sun,Rock,90s,https://www.youtube.com/watch?v=3mbBbFH9fAg
Evanescence,Bring Me to Life,Rock,2000s,https://www.youtube.com/watch?v=3YxaaGgTQYM
Smashing Pumpkins,1979,Rock,90s,https://www.youtube.com/watch?v=4aeETEoNfOg
Run-D.M.C.,Walk This Way,Hip-Hop,80s,https://www.youtube.com/watch?v=4B_UYYPb-Gk
Backstreet Boys,I Want It That Way,Pop,90s,https://www.youtube.com/watch?v=4fndeDfaWCg
The Weeknd,Blinding Lights,Pop,2010s,https://www.youtube.com/watch?v=4NRXx6U8ABQ
Twisted Sister,We're Not Gonna Take It,Rock,80s,https://www.youtube.com/watch?v=4xmckWVPRaI
Talking Heads,Once in a Lifetime,Alternative,80s,https://www.youtube.com/watch?v=5IsSpAOD6K8
George Michael,Faith,Pop,80s,https://www.youtube.com/watch?v=6Cs3Pvmmv0E
The Cranberries,Zombie,Alternative,90s,https://www.youtube.com/watch?v=6Ejga4kJUts
Backstreet Boys,Everybody (Backstreet's Back),Pop,90s,https://www.youtube.com/watch?v=6M6samPEMpM
The Backseat Lovers,Kilby Girl,Alternative,2020s,https://www.youtube.com/watch?v=6ZZghJG0d0E
Madonna,Like a Prayer,Pop,80s,https://www.youtube.com/watch?v=79fzeNUqQbQ
ZZ Top,Sharp Dressed Man,Rock,80s,https://www.youtube.com/watch?v=7wRHBLwpASw
Eminem,Lose Yourself,Hip-Hop,2000s,https://www.youtube.com/watch?v=7YuAzR2XVAM
Dr. Dre feat. Snoop Dogg,Nuthin' But a G Thang,Hip-Hop,90s,https://www.youtube.com/watch?v=8GliyDgAGQI
Guns N' Roses,November Rain,Rock,90s,https://www.youtube.com/watch?v=8SbUC-UaAxE
TLC,Waterfalls,Pop,90s,https://www.youtube.com/watch?v=8WEtxJ4-sh4
New Order,Blue Monday,Alternative,80s,https://www.youtube.com/watch?v=9GMjH1nR0ds
Tears for Fears,Everybody Wants to Rule the World,Pop,80s,https://www.youtube.com/watch?v=aGCdLKXNF3w
